AY747610.2	AY747610.2 Influenza A virus (A/swine/Fujian/1/2003(H5N1)) neuraminidase (NA) gene, complete cds
DQ997254.1	DQ997254.1 Influenza A virus (A/swine/Henan/wy/2004(H5N1)) segment 6, complete sequence
EU163948.1	EU163948.1 Influenza A virus (A/swine/Bakum/IDT1769/2003(H3N2)) neuraminidase mRNA, complete cds
EU516313.1	EU516313.1 Influenza A virus (A/swine/Guangdong/wxl/2004(H9N2)) segment 6, complete sequence
FJ157987.1	FJ157987.1 Influenza A virus (A/swine/Guangxi/1/2004(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
AB434306.1	AB434306.1 Influenza A virus (A/swine/Chonburi/NIAH9469/2004(H1N1)) NA gene for neuraminidase, complete cds
AB434314.1	AB434314.1 Influenza A virus (A/swine/Chonburi/NIAH977/2004(H1N1)) NA gene for neuraminidase, complete cds
AB434346.1	AB434346.1 Influenza A virus (A/swine/Chachoengsao/2003(H3N2)) NA gene for neuraminidase, complete cds
GQ161100.1	GQ161100.1 Influenza A virus (A/swine/Bakum/IDT1769/2003(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GQ161114.1	GQ161114.1 Influenza A virus (A/swine/Haseluenne/IDT2617/2003(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GQ161121.1	GQ161121.1 Influenza A virus (A/swine/Haseluenne/IDT2617/2003(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GQ161158.1	GQ161158.1 Influenza A virus (A/swine/Greven/IDT2889/2004(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GQ229322.1	GQ229322.1 Influenza A virus (A/swine/Hong Kong/554/2003(H1N2)) segment 6 neuraminidase (NA) gene, complete cds
GQ422396.1	GQ422396.1 Influenza A virus (A/swine/Guangdong/102/2002(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GQ422397.1	GQ422397.1 Influenza A virus (A/swine/Guangdong/106/2002(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GQ422398.1	GQ422398.1 Influenza A virus (A/swine/Guangdong/111/2002(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GQ422399.1	GQ422399.1 Influenza A virus (A/swine/Guangdong/110/2002(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GQ422400.1	GQ422400.1 Influenza A virus (A/swine/Guangdong/113/2002(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GQ422401.1	GQ422401.1 Influenza A virus (A/swine/Guangdong/107/2002(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GQ422387.1	GQ422387.1 Influenza A virus (A/swine/Guangdong/103/2002(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GU135975.1	GU135975.1 Influenza A virus (A/swine/Iowa/H03UWF2/2003(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GU135967.1	GU135967.1 Influenza A virus (A/swine/Iowa/H03US3/2003(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GU135959.1	GU135959.1 Influenza A virus (A/swine/Iowa/H03LS4/2003(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GU135951.1	GU135951.1 Influenza A virus (A/swine/Iowa/H03LJ10/2003(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GU135943.1	GU135943.1 Influenza A virus (A/swine/Iowa/H03LDH5/2003(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GU135935.1	GU135935.1 Influenza A virus (A/swine/Iowa/H03HS5/2003(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GU135927.1	GU135927.1 Influenza A virus (A/swine/Iowa/H03HO7/2003(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GU135920.1	GU135920.1 Influenza A virus (A/swine/Iowa/H03HB4/2003(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
GU135912.1	GU135912.1 Influenza A virus (A/swine/Iowa/H03G1/2003(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
GU135900.1	GU135900.1 Influenza A virus (A/swine/Iowa/H02AS8/2002(H3N2)) segment 6 neuraminidase (NA) gene, complete cds
CY085488.1	CY085488.1 Influenza A virus (A/swine/Hong Kong/NS13/2002(H1N2)) neuraminidase (NA) gene, complete cds
CY085520.1	CY085520.1 Influenza A virus (A/swine/Hong Kong/NS728/2002(H1N2)) neuraminidase (NA) gene, complete cds
CY085528.1	CY085528.1 Influenza A virus (A/swine/Hong Kong/1248/2002(H1N2)) neuraminidase (NA) gene, complete cds
CY085552.1	CY085552.1 Influenza A virus (A/swine/Hong Kong/NS129/2003(H1N1)) neuraminidase (NA) gene, complete cds
CY085560.1	CY085560.1 Influenza A virus (A/swine/Hong Kong/638/2003(H1N1)) neuraminidase (NA) gene, complete cds
CY085576.1	CY085576.1 Influenza A virus (A/swine/Hong Kong/NS605/2003(H1N2)) neuraminidase (NA) gene, complete cds
CY085584.1	CY085584.1 Influenza A virus (A/swine/Hong Kong/1102/2003(H1N2)) neuraminidase (NA) gene, complete cds
CY085600.1	CY085600.1 Influenza A virus (A/swine/Hong Kong/1382/2003(H1N2)) neuraminidase (NA) gene, complete cds
CY085616.1	CY085616.1 Influenza A virus (A/swine/Hong Kong/1763/2003(H1N2)) neuraminidase (NA) gene, complete cds
CY085680.1	CY085680.1 Influenza A virus (A/swine/Hong Kong/NS915/2004(H1N2)) neuraminidase (NA) gene, complete cds
CY099129.1	CY099129.1 Influenza A virus (A/swine/Indiana/00427/2004(H1N2)) neuraminidase (NA) gene, complete cds
CY099193.1	CY099193.1 Influenza A virus (A/swine/Illinois/SG1141/2003(H1N1)) neuraminidase (NA) gene, complete cds
CY115914.1	CY115914.1 Influenza A virus (A/swine/England/002295/2002(H1N2)) neuraminidase (NA) gene, complete cds
CY115929.1	CY115929.1 Influenza A virus (A/swine/England/010402/2003(H1N1)) neuraminidase (NA) gene, complete cds
CY115961.1	CY115961.1 Influenza A virus (A/swine/England/1131/2004(H1N1)) neuraminidase (NA) gene, complete cds
CY116068.1	CY116068.1 Influenza A virus (A/swine/England/254/2002(H1N1)) neuraminidase (NA) gene, complete cds
CY116358.1	CY116358.1 Influenza A virus (A/swine/Finnistere/800/2004(H1N1)) neuraminidase (NA) gene, complete cds
CY116390.1	CY116390.1 Influenza A virus (A/swine/Cotes d'Armor/1624/2002(H1N1)) neuraminidase (NA) gene, complete cds
CY116444.1	CY116444.1 Influenza A virus (A/swine/Gent/177/2002(H1N2)) neuraminidase (NA) gene, complete cds
DQ150435.2	DQ150435.2 Influenza A virus (A/swine/IN/PU542/04 (H3N1)) neuraminidase (NA) gene, complete cds
CY157777.1	CY157777.1 Influenza A virus (A/swine/Illinois/00303/2004(H3N2)) neuraminidase (NA) gene, complete cds
CY159099.1	CY159099.1 Influenza A virus (A/swine/Iowa/00186/2003(H3N2)) neuraminidase (NA) gene, complete cds
CY159219.1	CY159219.1 Influenza A virus (A/swine/Iowa/00250/2004(H1N1)) neuraminidase (NA) gene, complete cds
CY157697.1	CY157697.1 Influenza A virus (A/swine/Colorado/SG1185/2004(H1N1)) neuraminidase (NA) gene, complete cds
KM198692.1	KM198692.1 Influenza A virus (A/swine/Iowa/00239/2004(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
KR700626.1	KR700626.1 Influenza A virus (A/swine/England/1437/2004(H1N2)) segment 6 neuraminidase (NA) gene, complete cds
CY085496.2	CY085496.2 Influenza A virus (A/swine/Hong Kong/227/2002(H1N1)) neuraminidase (NA) gene, complete cds
CY085504.2	CY085504.2 Influenza A virus (A/swine/Hong Kong/752/2002(H1N1)) neuraminidase (NA) gene, complete cds
AB571805.2	AB571805.2 Influenza A virus (A/swine/Chachoengsao/2002(H3N2)) NA gene for neuraminidase, complete cds
AB573015.2	AB573015.2 Influenza A virus (A/swine/Chonburi/2002(H3N2)) NA gene for neuraminidase, complete cds
